plant_id,company_id,parentcomp_id,name,carbon_2000,carbon_2007,carbon_nextdecade,energy_2000,energy_2007,energy_nextdecade,intensity_2000,intensity_2007,intensity_nextdecade,continent,country,iso3,state,city_name,metroarea,county,congdist,zip,latitude,longitude
"51445","","0","NEUKIRCHEN BOREAS","0.0000","0.0000","0.0000","29483.8105","38850.1406","38850.1406","0.0000","0.0000","0.0000","Europe","Germany","DEU","Thuringen","Neukirchen","","","","0","51.01667","10.33333"
"56186","","0","LAUBA","0.0000","0.0000","0.0000","1700.9890","1739.5580","1739.5580","0.0000","0.0000","0.0000","Europe","Germany","DEU","Sachsen","Lauba","","","","0","51.08333","14.56667"
"54958","","0","KLOCKOW","0.0000","0.0000","0.0000","0.0000","21744.4805","21744.4805","0.0000","0.0000","0.0000","Europe","Germany","DEU","Brandenburg","Klockow","","","","0","53.15","11.85"
"51484","","0","SCHENKENBURG BOREAS","0.0000","0.0000","0.0000","0.0000","21744.4805","21744.4805","0.0000","0.0000","0.0000","Europe","Germany","DEU","Brandenburg","Schenkenberg","","","","0","52.38334","12.71667"
"54240","","0","GANGLOFFSOMMERN","0.0000","0.0000","0.0000","0.0000","14496.3203","14496.3203","0.0000","0.0000","0.0000","Europe","Germany","DEU","Thuringen","Gangloffsömmern","","","","0","51.18333","10.93333"
"54689","","0","FAHA","0.0000","0.0000","0.0000","0.0000","8697.7920","8697.7920","0.0000","0.0000","0.0000","Europe","Germany","DEU","Saarland","Faha","","","","0","49.51667","6.483333"
"55604","","0","BLANKENBERG","0.0000","0.0000","0.0000","0.0000","8697.7920","8697.7920","0.0000","0.0000","0.0000","Europe","Germany","DEU","Thuringen","Blankenberg","","","","0","50.4","11.71667"
"54140","","0","TOTTELBEN","0.0000","0.0000","0.0000","0.0000","5798.5278","5798.5278","0.0000","0.0000","0.0000","Europe","Germany","DEU","Thuringen","Tottelben","","","","0","0","0"
"55690","","0","MAGDEBURG BOREAS","0.0000","0.0000","0.0000","0.0000","11597.0596","11597.0596","0.0000","0.0000","0.0000","Europe","Germany","DEU","Sachsen-Anhalt","Magdeburg","","","","0","52.16667","11.66667"
"54007","","0","OBERSEIFERSDORF","0.0000","0.0000","0.0000","0.0000","1739.5580","1739.5580","0.0000","0.0000","0.0000","Europe","Germany","DEU","Sachsen","Oberseifersdorf","","","","0","50.95","14.8"
"55072","","0","WANGENHEIM","0.0000","0.0000","0.0000","0.0000","34791.1719","34791.1719","0.0000","0.0000","0.0000","Europe","Germany","DEU","Thuringen","Wangenheim","","","","0","51.01667","10.61667"
"57126","","0","KUTZLEBEN","0.0000","0.0000","0.0000","0.0000","57985.2812","57985.2812","0.0000","0.0000","0.0000","Europe","Germany","DEU","Thuringen","Kutzleben","","","","0","51.2","10.75"
"55598","","0","WATOWAINZ","0.0000","0.0000","0.0000","0.0000","5798.5278","5798.5278","0.0000","0.0000","0.0000","Europe","Germany","DEU","Brandenburg","Watowainz","","","","0","0","0"
"55359","","0","GREUSSEN","0.0000","0.0000","0.0000","0.0000","63783.8086","63783.8086","0.0000","0.0000","0.0000","Europe","Germany","DEU","Thuringen","Gessen","","","","0","50.85","12.15"
"55687","","0","REICHENBACH BOREAS","0.0000","0.0000","0.0000","0.0000","4348.8960","4348.8960","0.0000","0.0000","0.0000","Europe","Germany","DEU","Sachsen","Hochschwarzwald","","","","0","0","0"
"54369","","0","SOHLAND AM ROTSTEIN","0.0000","0.0000","0.0000","0.0000","17395.5801","17395.5801","0.0000","0.0000","0.0000","Europe","Germany","DEU","Sachsen","Sohland am Rotstein","","","","0","51.11666","14.78333"
"54718","","0","HUFFLER","0.0000","0.0000","0.0000","0.0000","11597.0596","11597.0596","0.0000","0.0000","0.0000","Europe","Germany","DEU","Rheinland-Pfalz","Hüffler","","","","0","49.5","7.383333"
"56386","","0","SCHERMEN","0.0000","0.0000","0.0000","0.0000","34791.1719","34791.1719","0.0000","0.0000","0.0000","Europe","Germany","DEU","Sachsen-Anhalt","Schermen","","","","0","52.23333","11.81667"
"55715","","0","WOLTERSDORF BOREAS","0.0000","0.0000","0.0000","0.0000","23194.1094","23194.1094","0.0000","0.0000","0.0000","Europe","Germany","DEU","Sachsen-Anhalt","Woltersdorf","","","","0","51.91667","12.75"
"52231","GREENTECH ENERGY SYSTEMS A/S","0","WORMLAGE","0.0000","0.0000","0.0000","0.0000","21744.4805","21744.4805","0.0000","0.0000","0.0000","Europe","Germany","DEU","Brandenburg","Wormlage","","","","0","51.61666","13.91667"
"55366","ENERGIEGESELLSCHAFT NORDOST","0","SILMERSDORF","0.0000","0.0000","0.0000","0.0000","65233.4414","65233.4414","0.0000","0.0000","0.0000","Europe","Germany","DEU","Brandenburg","Silmersdorf","","","","0","53.26667","12.13333"
"56463","ENERTRAG ENERGIEBAU GMBH","0","DRENSE","0.0000","0.0000","0.0000","0.0000","8697.7920","8697.7920","0.0000","0.0000","0.0000","Europe","Germany","DEU","Brandenburg","Drense","","","","0","53.31667","13.98333"
