sp.ID time endTime t.ID station_european_code PM10 x y 
DENI063 2005-06-01 2005-06-02 5266 DENI063 15.792 9.6850299999999958 53.5241800016289060
DEBY109 2005-06-01 2005-06-02 5266 DEBY109 16.833 11.2201720000000050 47.9687540022780250
DEBE056 2005-06-01 2005-06-02 5266 DEBE056 15.75 13.6470129999999920 52.4477500019380050
DEBE032 2005-06-01 2005-06-02 5266 DEBE032 12.375 13.2258560000000060 52.4730910019316070
DEHE046 2005-06-01 2005-06-02 5266 DEHE046 8.875 8.9281710000000061 51.4308970021556180
DESL019 2005-06-01 2005-06-02 5266 DESL019 14.043 6.5520359999999984 49.4168850023497800
DENW081 2005-06-01 2005-06-02 5266 DENW081 14.625 6.8745529999999997 51.8620000020726050
DESH008.1 2005-06-01 2005-06-02 5266 DESH008 9 10.2406229999999920 54.0932330014354080
DESN049 2005-06-01 2005-06-02 5266 DESN049 11 12.6111249999999940 50.4313220022930370
DESN076.1 2005-06-01 2005-06-02 5266 DESN076 9 13.0094049999999990 51.3037720021774110
DETH026 2005-06-01 2005-06-02 5266 DETH026 22.083 10.3752989999999980 50.5617520022795620
DEBW004 2005-06-01 2005-06-02 5266 DEBW004 19.913 8.4038380000000021 49.0824280023494590
DEBW004.1 2005-06-01 2005-06-02 5266 DEBW004 19 8.4039164428761612 49.0824985196908370
DENI059 2005-06-01 2005-06-02 5266 DENI059 16.458 8.8012200000000060 53.8301700015273430
DEHE028 2005-06-01 2005-06-02 5266 DEHE028 13.042 8.8172500000000031 49.6534650023442200
DEMV017 2005-06-01 2005-06-02 5266 DEMV017 14.5 11.3629649999999960 53.3023520016988430
DEMV004 2005-06-01 2005-06-02 5266 DEMV004 16.417 12.0647079999999980 53.8177750015315510
DEBB053 2005-06-01 2005-06-02 5266 DEBB053 11.875 14.0152530000000010 52.5638350019084300
DENW063 2005-06-01 2005-06-02 5266 DENW063 7.083 8.9505970000000072 51.8309520020790590
DETH061 2005-06-01 2005-06-02 5266 DETH061 10.083 11.6612329999999980 50.7916160022525670
DERP014 2005-06-01 2005-06-02 5266 DERP014 NA 7.1934860000000000 49.7410350023409930
DENI031 2005-06-01 2005-06-02 5266 DENI031 13.417 8.0905900000000042 53.5961700016055150
DEMV012 2005-06-01 2005-06-02 5266 DEMV012 14.696 14.2574069999999970 53.5204560016301020
DEBB065 2005-06-01 2005-06-02 5266 DEBB065 16.625 12.5613889999999970 52.1942250019993000
DEBY013 2005-06-01 2005-06-02 5266 DEBY013 17.167 12.7813850000000040 48.1828350023002730
DEBY047 2005-06-01 2005-06-02 5266 DEBY047 13.667 11.7216049999999970 50.3232420023031180
DENW065 2005-06-01 2005-06-02 5266 DENW065 12.083 8.1919339999999981 50.9303280022342410
DEUB030 2005-06-01 2005-06-02 5266 DEUB030 11.5 13.0316609999999980 53.1413040017476420
DEUB030.1 2005-06-01 2005-06-02 5266 DEUB030 7 13.0317923680784200 53.1413486474054860
DETH027 2005-06-01 2005-06-02 5266 DETH027 11.25 11.1345909999999990 50.4999550022861500
DEBY049 2005-06-01 2005-06-02 5266 DEBY049 15.208 11.7778169999999970 48.8532110023436560
DEBW103 2005-06-01 2005-06-02 5266 DEBW103 22.208 8.7538340000000048 49.4648130023490470
DEBW103.1 2005-06-01 2005-06-02 5266 DEBW103 14 8.7539560666284881 49.4648933203486220
DENI058 2005-06-01 2005-06-02 5266 DENI058 22.238 7.2139800000000029 53.7153000015661350
DERP017 2005-06-01 2005-06-02 5266 DERP017 17.476 7.8265209999999996 49.2702630023508380
DESN051.1 2005-06-01 2005-06-02 5266 DESN051 12 13.6750050000000060 51.1195110022068210
DEHE043 2005-06-01 2005-06-02 5266 DEHE043 18.875 8.5167969999999968 49.8251610023372680
DEUB004 2005-06-01 2005-06-02 5266 DEUB004 20.042 7.9080360000000036 47.9132580022715970
DEUB004.1 2005-06-01 2005-06-02 5266 DEUB004 12 7.9081153736684522 47.9133422037547520
DEUB029 2005-06-01 2005-06-02 5266 DEUB029 10.333 10.7695330000000010 50.6540660022692530
DEUB029.1 2005-06-01 2005-06-02 5266 DEUB029 7 10.7696745005308760 50.6541543627288890
DESN074.1 2005-06-01 2005-06-02 5266 DESN074 13 13.4650770000000040 50.6590970022686800
